"","Y","avg_ADX","avg_aroon","avg_BBands","avg_CCI","avg_chaikinVolatility","avg_CLV","avg_CMOClose","avg_CTI","avg_DonchianChannel","avg_DPOClose","avg_DVIClose","avg_GMMAClose","avg_KSTClose","avg_lags","avg_MACD","avg_PBandsClose","avg_ROCClose","avg_momentumClose","avg_RSIClose","avg_runSum","avg_runMin","avg_runMax","avg_runMedian","avg_SAR","avg_SMAClose","avg_EMAClose","avg_DEMAClose","avg_SNR","avg_SMI","avg_TDI","avg_TRIX","avg_ultimateOscillator","avg_VHF","avg_volatility","avg_williamsAD","avg_WPR","avg_ZigZag"
"1850","0",25.8538638662206,42.1468144044321,2004.19681281077,-30.5169087159234,0.0972883150701746,-0.0355106756637866,-14.0135599848948,0.9551547040613,2006.12693186859,0.039285296010524,0.446711075935453,2005.44925901032,-0.126255055463435,2005.43641966467,-0.00420047651828116,2005.4648847386,-8.28992531040021e-06,-0.016566828254848,43.5805409315484,20053.81788002,2004.77950484438,2005.99375287583,2005.37681310595,2005.38261158929,2005.381788002,2005.38193899335,2005.31192570848,7.10995915067142,-16.8455420919935,-1.99225978185624,-0.00026620230577539,46.9068849527444,0.500465824939557,0.0016868116740956,168.103609534579,0.589888234660983,1931.12292893168
"1851","1",34.5153688505267,57.3684210526316,1997.90300621502,20.6253398427587,0.0310331998545151,0.0146196681657384,10.034256096647,0.943232980272683,2000.16597472299,-0.0286675899466051,0.549232730950182,1999.17770351892,0.276940259582428,1999.62565962604,0.00830950269096623,1999.25106643874,8.94688803582476e-06,0.017900796398892,56.5217780283327,19993.6339681432,1998.68652700831,2000.01917243767,1999.36647636773,1999.28810875174,1999.36339681432,1999.35999285975,1999.46045610005,5.49908245639772,19.6404567205609,2.44656120152365,0.0011787525026259,53.12255242746,0.462643806595057,0.00197330585177327,162.929513432008,0.432630023986663,1932.35845611659
"1852","0",26.7644968072663,46.8975069252078,2000.61937429075,1.41018115083941,0.0443443325710046,0.0105660760587891,-0.804029965429244,0.954056701958746,2002.33462344183,0.012975242460396,0.485549399815328,2001.77822930686,-0.150455387169874,2001.72130626731,-0.0051703420357612,2001.74246256063,-7.91867326917413e-06,-0.0158699792243775,48.4100119051448,20016.6164586211,2001.10025969529,2002.2112075831,2001.67103358726,2001.649840379,2001.66164586211,2001.65972669613,2001.58794697992,6.101191855523,-0.679470862544442,-4.22079856301962,-0.000720016487139787,49.9097526217924,0.466157164630098,0.00162895498668127,165.002939678561,0.487969164107227,1933.59398330151
"1853","0",23.4891945127171,36.5373961218837,1993.01351797169,-32.8440911397328,0.086769290560839,-0.0611492512662105,-13.2075622332571,0.947222627205132,1995.56555141967,0.0324293629579557,0.427725014290111,1994.80365479785,-0.391204485210339,1994.55811374654,-0.0127134372712774,1994.76120572198,-1.798477496358e-05,-0.0358708448753467,44.5033096117068,19945.4952293967,1993.7008509349,1995.37157548476,1994.55718230609,1994.60078764566,1994.54952293967,1994.55123319498,1994.36827359051,6.73530389784227,-11.1218839460526,-7.67639932479218,-0.00138543371769425,45.9542007957156,0.524883194854627,0.00217878134380066,157.469593164595,0.561744653183326,1934.82951048643
"1854","1",33.4287134457089,52.7285318559557,1988.81793356126,14.6947520469904,0.0610781154091333,0.0374835540164685,6.50326794348902,0.95488713539309,1991.31686374654,-0.0224291896732405,0.568676076155301,1990.26843396081,0.23797832024353,1990.69755886427,0.00740801556124703,1990.30219611326,9.88826041384767e-06,0.0196987534626049,55.1025828841771,19904.1782929355,1989.68722039474,1991.15227493075,1990.41548779432,1990.42534716268,1990.41782929355,1990.41615084867,1990.51699850439,4.82211997852906,12.5758073401696,1.56094399238234,0.00086269925255773,52.8354951479003,0.457195178474892,0.0019895788078729,150.637493095355,0.466035447353597,1936.06503767135
"1855","1",30.3659040374172,47.9778393351801,1990.83237801168,5.66391439080848,0.092677949343161,0.0361247879482515,4.12032643638703,0.948029928074517,1993.28932961711,-0.0380679645885263,0.51804950973926,1992.42863258951,-0.0330474667305947,1992.58455802139,-0.00074829623903641,1992.41140972949,1.03817524316684e-06,0.00207148969560362,51.5435295463441,19924.0808504057,1991.63313641092,1993.13821832824,1992.42277251799,1992.35325947917,1992.40808504057,1992.40959952266,1992.40532403833,5.74396855146976,7.29104149401395,-4.1889497538415,-0.000139915773839426,51.1555801458022,0.499053627742839,0.00202966073878406,154.875984720599,0.448155083747936,1937.30056485627
"1856","0",23.1989588390965,40.3739612188366,1986.32710762834,-35.8998833836951,0.0603476386892135,-0.0429497660389951,-13.6156549379991,0.94390269302064,1988.55104830332,0.0316978013236815,0.449804335399903,1987.92050183971,-0.378057819529351,1987.68036703601,-0.011772654420874,1987.81149207932,-1.577004207485e-05,-0.0313988919667591,42.8662720797915,19876.5211651654,1986.86966759003,1988.37318992382,1987.67268135388,1987.64366917237,1987.65211651654,1987.65165700127,1987.50575774313,5.07051736141792,-14.6340082275865,-9.28347602146832,-0.00173670236456364,46.3040191956741,0.467165820507717,0.00211245206144738,149.2997251645,0.57711171710664,1938.53609204118
"1857","1",27.2934169995122,48.005540166205,1981.14798067948,5.33821994495676,0.0254238900599936,-0.0142283046809556,1.58339477094895,0.946510320121634,1983.29408067867,-0.00275112527008918,0.525084641428132,1982.47299573496,-0.0150785087765371,1982.63524238227,-0.000435448084535019,1982.47878150973,-1.08271243539835e-06,-0.00214941135734024,50.4942876856337,19824.6893022846,1981.84698493767,1983.12480263158,1982.45389672784,1982.52749593133,1982.46893022845,1982.46827433869,1982.45894889985,4.89007282155164,-2.18372815257564,-2.65062110457101,2.04692470073289e-05,50.1454899039779,0.471798502497105,0.00181570784954631,145.877380981675,0.508933919326645,1939.7716192261
"1858","1",33.2218227511909,54.5983379501385,1992.8965166468,25.1762652310581,0.0766110176784079,0.0483256646116884,11.993947166852,0.952439662161622,1995.41117815097,-0.0844300143608304,0.500369344413666,1994.23172255716,0.504987592656947,1994.99955605638,0.0161234132343292,1994.36949793933,2.23540924772769e-05,0.0445135951422785,58.1333378842219,19946.0199648448,1993.90389317545,1995.27275861943,1994.61035396026,1994.54104180675,1994.60199648448,1994.60094779807,1994.8082958789,5.58287985856681,20.7613643115152,6.45741762838912,0.00228905133619499,54.2810362522508,0.488829198771086,0.00189342028425976,163.130171683807,0.425941785789195,1941.00714641102
"1859","1",27.3663217864135,50.6925207756233,1999.78376098916,-5.32391187040692,0.202349086243571,0.0257576417012371,0.576075796093398,0.95612021744111,2002.42115455243,-0.0115306439678864,0.527639273622653,2001.27454882596,0.255352770037698,2001.73634695291,0.007502637358281,2001.3227986929,1.02176563577131e-05,0.0204665858725756,49.9943209210271,20014.3279284965,2000.6246447147,2002.18364210475,2001.45508374631,2001.37429252302,2001.43279284965,2001.42774871039,2001.52357252781,4.87281226023206,0.0597649994037937,3.18176462950139,0.000906209954701941,50.7844775736727,0.506833222089158,0.00202787291342892,170.959866742347,0.498041920482395,1942.24267359594
